id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,original_language,genres,production_companies,cast,director,producers,keywords,overview,roi,profit
49521,Man of Steel,2013-06-12,225000000,662845518,143.0,6.5,6359,99.398009,en,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Legendary Pictures', 'Warner Bros.', 'DC Entertainment']","['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Kevin Costner', 'Diane Lane']",Zack Snyder,"['Charles Roven', 'Christopher Nolan']","['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",1.94598008,437845518
2454,The Chronicles of Narnia: Prince Caspian,2008-05-15,225000000,419651413,150.0,6.3,1630,53.978602,en,"['Adventure', 'Family', 'Fantasy']","['Walt Disney', 'Walden Media', 'Stillking Films']","['Ben Barnes', 'William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley']",Andrew Adamson,"['Mark Johnson', 'Andrew Adamson']","['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle']","One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",0.8651173911111111,194651413
24428,The Avengers,2012-04-25,220000000,1519557910,143.0,7.4,11776,144.448633,en,"['Science Fiction', 'Action', 'Adventure']","['Paramount Pictures', 'Marvel Studios']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson']",Joss Whedon,['Kevin Feige'],"['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",5.907081409090909,1299557910
1865,Pirates of the Caribbean: On Stranger Tides,2011-05-14,380000000,1045713802,136.0,6.4,4948,135.413856,en,"['Adventure', 'Action', 'Fantasy']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']","['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin McNally', 'Geoffrey Rush']",Rob Marshall,['Jerry Bruckheimer'],"['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid']","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",1.7518784263157894,665713802
41154,Men in Black 3,2012-05-23,225000000,624026776,106.0,6.2,4160,52.035179,en,"['Action', 'Comedy', 'Science Fiction']","['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ']","['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Michael Stuhlbarg', 'Emma Thompson']",Barry Sonnenfeld,"['Walter F. Parkes', 'Laurie MacDonald']","['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']","Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",1.7734523377777778,399026776
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,250000000,956019788,144.0,7.1,4760,120.965743,en,"['Action', 'Adventure', 'Fantasy']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures']","['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish']",Peter Jackson,"['Peter Jackson', 'Fran Walsh']","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle']","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",2.824079152,706019788
1930,The Amazing Spider-Man,2012-06-27,215000000,752215857,136.0,6.5,6586,89.866276,en,"['Action', 'Adventure', 'Fantasy']","['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']","['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Campbell Scott']",Marc Webb,"['Laura Ziskin', 'Avi Arad']","['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering']","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2.4986784046511628,537215857
20662,Robin Hood,2010-05-12,200000000,310669540,140.0,6.2,1398,37.668301,en,"['Action', 'Adventure']","['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions']","['Russell Crowe', 'Cate Blanchett', 'Max von Sydow', 'William Hurt', 'Mark Strong']",Ridley Scott,"['Brian Grazer', 'Ridley Scott']","['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",0.5533477,110669540
57158,The Hobbit: The Desolation of Smaug,2013-12-11,250000000,958400000,161.0,7.6,4524,94.370564,en,"['Adventure', 'Fantasy']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures']","['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish']",Peter Jackson,"['Peter Jackson', 'Fran Walsh']","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']","The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2.8336,708400000
2268,The Golden Compass,2007-12-04,180000000,372234864,113.0,5.8,1303,42.990906,en,"['Adventure', 'Fantasy']","['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field']","['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig', 'Sam Elliott', 'Eva Green']",Chris Weitz,"['Bill Carraro', 'Deborah Forte']","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",1.0679714666666666,192234864
254,King Kong,2005-12-14,207000000,550000000,187.0,6.6,2337,61.22601,en,"['Adventure', 'Drama', 'Action']","['WingNut Films', 'Universal Pictures', 'Big Primate Pictures']","['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann', 'Colin Hanks']",Peter Jackson,"['Peter Jackson', 'Fran Walsh']","['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",1.6570048309178744,343000000
597,Titanic,1997-11-18,200000000,1845034188,194.0,7.5,7562,100.025899,en,"['Drama', 'Romance', 'Thriller']","['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']","['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher', 'Billy Zane', 'Kathy Bates']",James Cameron,"['James Cameron', 'Jon Landau']","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster']","84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",8.22517094,1645034188
271110,Captain America: Civil War,2016-04-27,250000000,1153304495,147.0,7.1,7241,198.372395,en,"['Adventure', 'Action', 'Science Fiction']","['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie']",Anthony Russo,['Kevin Feige'],"['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",3.61321798,903304495
44833,Battleship,2012-04-11,209000000,303025485,131.0,5.5,2114,64.928382,en,"['Thriller', 'Action', 'Adventure', 'Science Fiction']","['Universal Pictures', 'Hasbro', 'Bluegrass Films']","['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna', 'Brooklyn Decker', 'Tadanobu Asano']",Peter Berg,"['Duncan Henderson', 'Scott Stuber']","['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship']","When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",0.4498827033492823,94025485
135397,Jurassic World,2015-06-09,150000000,1513528810,124.0,6.5,8662,418.708552,en,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures']","['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Nick Robinson']",Colin Trevorrow,"['Frank Marshall', 'Patrick Crowley']","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur']","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",9.090192066666667,1363528810
37724,Skyfall,2012-10-25,200000000,1108561013,143.0,6.9,7604,93.004993,en,"['Action', 'Adventure', 'Thriller']",['Columbia Pictures'],"['Daniel Craig', 'Judi Dench', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris']",Sam Mendes,"['Barbara Broccoli', 'Michael G. Wilson']","['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap']","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",4.542805065,908561013
558,Spider-Man 2,2004-06-25,200000000,783766341,127.0,6.7,4321,35.149586,en,"['Action', 'Adventure', 'Fantasy']","['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina', 'Rosemary Harris']",Sam Raimi,"['Laura Ziskin', 'Avi Arad']","['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death']","Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",2.918831705,583766341
68721,Iron Man 3,2013-04-18,200000000,1215439994,130.0,6.8,8806,77.68208,en,"['Action', 'Adventure', 'Science Fiction']",['Marvel Studios'],"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall']",Shane Black,['Kevin Feige'],"['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger']","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",5.07719997,1015439994
12155,Alice in Wonderland,2010-03-03,200000000,1025491110,108.0,6.4,4645,78.530105,en,"['Family', 'Fantasy', 'Adventure']","['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions']","['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover']",Tim Burton,"['Jennifer Todd', 'Suzanne Todd']","['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",4.12745555,825491110
36668,X-Men: The Last Stand,2006-05-24,210000000,459359555,104.0,6.3,3525,3.857526,en,"['Adventure', 'Action', 'Science Fiction', 'Thriller']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company""]","['Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Patrick Stewart', 'Famke Janssen']",Brett Ratner,"['Ralph Winter', 'Lauren Shuler Donner']","['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']","When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",1.1874264523809523,249359555
62211,Monsters University,2013-06-20,200000000,743559607,104.0,7.0,3528,89.186492,en,"['Animation', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios']","['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren', 'Noah Johnston']",Dan Scanlon,['Kori Rae'],"['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']",A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,2.717798035,543559607
8373,Transformers: Revenge of the Fallen,2009-06-19,150000000,836297228,150.0,6.0,3138,21.939663,en,"['Science Fiction', 'Action', 'Adventure']","['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment']","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Rainn Wilson', 'Tyrese Gibson']",Michael Bay,"['Don Murphy', 'Ian Bryce']","['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']","Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",4.575314853333333,686297228
91314,Transformers: Age of Extinction,2014-06-25,210000000,1091405097,165.0,5.8,3095,116.840296,en,"['Science Fiction', 'Action', 'Adventure']","['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures']","['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer', 'Nicola Peltz', 'Jack Reynor']",Michael Bay,"['Don Murphy', 'Ian Bryce']","['sequel', 'alien', 'transformers', 'giant robot', 'robot', 'imax', 'transforming robot']","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",4.1971671285714285,881405097
